,areas,phi,rho,seg,name
0,91,207.67886,0.09455186,1,9000099_03_000
1,19,209.99644,0.116780296,1,9000099_03_000
2,15,194.33632,0.102888614,1,9000099_03_000
3,41,205.20905,0.16416168,1,9000099_03_000
0,196,297.57837,0.09183714,3,9000099_03_001
0,11,253.82318,0.08312692,1,9000099_03_002
0,169,19.923225,0.054520164,3,9000099_03_002
1,47,290.3916,0.09933351,3,9000099_03_002
0,152,38.13053,0.07103076,3,9000099_03_003
0,355,229.39845,0.11938304,1,9000099_03_006
1,96,226.73373,0.15816636,1,9000099_03_006
2,11,217.06021,0.1225735,1,9000099_03_006
3,11,219.1221,0.12815137,1,9000099_03_006
0,574,287.01074,0.14043814,3,9000099_03_006
1,15,46.171917,0.103276126,3,9000099_03_006
2,19,41.190155,0.09398966,3,9000099_03_006
0,10,218.28296,0.11263766,1,9000099_03_007
1,92,223.68257,0.15114176,1,9000099_03_007
0,674,289.61884,0.14105104,3,9000099_03_007
1,22,45.58728,0.11217853,3,9000099_03_007
2,11,38.64618,0.09801107,3,9000099_03_007
3,60,57.085167,0.12075639,3,9000099_03_007
0,33,188.82727,0.14239825,1,9000099_03_008
0,628,293.73138,0.12881932,3,9000099_03_008
1,298,52.852768,0.116911896,3,9000099_03_008
2,12,272.17252,0.09386404,3,9000099_03_008
0,242,52.723038,0.11892562,3,9000099_03_009
1,131,296.88107,0.107017785,3,9000099_03_009
2,16,292.00406,0.14573425,3,9000099_03_009
3,15,65.11505,0.09220083,3,9000099_03_009
4,99,71.2928,0.05633932,3,9000099_03_009
5,31,80.302055,0.07374487,3,9000099_03_009
6,24,265.84036,0.10897574,3,9000099_03_009
0,112,49.772125,0.118179634,3,9000099_03_010
1,13,291.1694,0.093738385,3,9000099_03_010
2,30,281.07318,0.1091352,3,9000099_03_010
3,283,78.61089,0.07001189,3,9000099_03_010
0,26,217.23798,0.08198408,1,9000099_03_011
1,11,180.7181,0.08387465,1,9000099_03_011
2,10,186.42969,0.08934443,1,9000099_03_011
0,14,40.389492,0.12245275,3,9000099_03_011
1,150,51.115482,0.116128266,3,9000099_03_011
2,22,73.415474,0.12616271,3,9000099_03_011
3,11,266.92245,0.14386575,3,9000099_03_011
4,247,94.98767,0.05489345,3,9000099_03_011
0,14,218.20912,0.079607956,1,9000099_03_012
0,180,344.7487,0.09241073,3,9000099_03_012
1,523,58.016537,0.11250467,3,9000099_03_012
2,102,270.65347,0.13337319,3,9000099_03_012
0,411,342.35223,0.090541184,3,9000099_03_013
1,939,60.397045,0.108236946,3,9000099_03_013
2,51,274.1807,0.14089903,3,9000099_03_013
0,52,336.95187,0.12983449,3,9000099_03_014
1,96,308.49615,0.15854883,3,9000099_03_014
2,617,332.42725,0.08191138,3,9000099_03_014
3,575,63.5654,0.10496991,3,9000099_03_014
4,13,77.93833,0.06262041,3,9000099_03_014
0,449,333.91528,0.10026904,3,9000099_03_015
1,309,298.49243,0.15546867,3,9000099_03_015
2,242,61.612778,0.09637326,3,9000099_03_015
3,12,73.37329,0.13185228,3,9000099_03_015
0,23,327.66367,0.11323281,3,9000099_03_016
1,152,296.2832,0.16293465,3,9000099_03_016
2,17,298.0526,0.14828011,3,9000099_03_016
3,14,47.930294,0.13324516,3,9000099_03_016
4,119,45.140175,0.09916418,3,9000099_03_016
5,25,55.083805,0.09378803,3,9000099_03_016
0,210,338.5986,0.10136708,3,9000099_03_017
0,239,340.31958,0.09711127,3,9000099_03_018
1,16,322.2264,0.12416347,3,9000099_03_018
0,14,220.6806,0.16381049,1,9000099_03_019
0,145,341.05746,0.09574747,3,9000099_03_019
1,20,318.53772,0.12688492,3,9000099_03_019
2,140,312.45615,0.10576083,3,9000099_03_019
3,15,298.425,0.07640223,3,9000099_03_019
0,35,210.41127,0.16081285,1,9000099_03_020
1,37,204.90892,0.15805918,1,9000099_03_020
0,196,347.56256,0.09249216,3,9000099_03_020
1,11,318.56955,0.12664928,3,9000099_03_020
2,126,312.50217,0.11063045,3,9000099_03_020
0,98,212.08844,0.16043825,1,9000099_03_021
0,209,346.12918,0.09295479,3,9000099_03_021
1,25,321.36063,0.12485097,3,9000099_03_021
0,71,212.85548,0.16081798,1,9000099_03_022
1,11,211.29547,0.16810423,1,9000099_03_022
2,14,205.23285,0.15656902,1,9000099_03_022
0,448,326.2477,0.105378434,3,9000099_03_022
0,64,190.43478,0.13416196,1,9000798_00_001
1,67,169.74762,0.14775506,1,9000798_00_001
0,22,182.21344,0.012704313,1,9000798_00_002
1,17,242.2799,0.03968631,1,9000798_00_002
2,35,156.07182,0.10318093,1,9000798_00_002
3,106,191.23788,0.13065635,1,9000798_00_002
0,88,51.89695,0.08432292,3,9000798_00_002
0,18,247.73021,0.033423427,1,9000798_00_003
1,10,223.37373,0.1178946,1,9000798_00_003
0,84,63.304424,0.1270344,3,9000798_00_003
1,36,73.54205,0.101243734,3,9000798_00_003
0,18,218.88629,0.12916976,1,9000798_00_004
1,28,150.10402,0.13708071,1,9000798_00_004
2,54,176.80737,0.15085207,1,9000798_00_004
0,14,64.59559,0.12817116,3,9000798_00_004
1,19,72.1248,0.1473848,3,9000798_00_004
2,47,82.06298,0.11860074,3,9000798_00_004
0,24,75.99119,0.15169246,3,9000798_00_005
1,12,285.78314,0.07389108,3,9000798_00_005
2,14,74.51922,0.10927836,3,9000798_00_005
0,51,158.39223,0.13055909,1,9000798_00_006
1,66,169.51279,0.1512729,1,9000798_00_006
2,39,180.98595,0.15919396,1,9000798_00_006
0,43,82.16384,0.16186725,3,9000798_00_006
0,15,150.45892,0.12601963,1,9000798_00_007
1,45,158.55574,0.12414225,1,9000798_00_007
