,femur,tibia
0,349,5117
1,1829,6654
2,3265,7846
3,1008,6891
4,2288,6218
5,516,1914
6,14,3
7,68,6758
8,1964,511
9,4,1058
10,61,1928
11,3173,641
12,0,1
13,134,5
14,73,0
15,161,1
16,5,0
17,103,1879
18,264,1
19,1,0
20,0,2
21,0,6
22,3,25
23,2,11
24,0,0
25,19,2
26,270,0
27,42,6
28,2,18
29,5,3052
30,10656,1151
31,2793,1002
32,417,791
33,430,123
34,837,11949
35,11073,16090
36,29876,466
37,21737,265
38,3,14
39,138,186
40,4,93
41,1,4
42,37,61
43,0,69
44,0,5045
45,0,3
46,150,8933
47,0,26
48,437,308
49,492,541
50,367,732
51,359,8076
52,372,1839
53,2508,5300
54,1328,5870
55,17,19
56,2865,1676
57,1,3569
58,19,2494
59,645,13576
60,6,233
61,3,207
62,0,111
63,7,28
64,5,15
65,9133,2364
66,0,1
67,4,0
68,21,0
69,26,10
70,1167,4237
71,3,5
72,201,1756
73,11,300
74,3,8
75,2,4
76,4,5
77,26,18
78,24,110
79,667,94
80,1,0
81,19,41
82,1,19
83,1002,24
84,54,35
85,3081,3376
86,0,0
87,217,4025
88,4,1
89,3,47
90,262,6
91,2400,590
92,26,53
93,304,62
94,0,2
95,310,0
96,158,31
97,2488,850
98,136,50
99,442,379
100,203,71
101,102,12
102,2289,380
103,693,569
104,1318,2307
105,18,284
106,133,194
107,668,827
108,5,10
109,1900,1068
110,215,0
111,10,2
112,71,95
113,4,59
114,0,34
115,385,8461
116,0,2
117,2923,1358
118,0,18
119,192,35
120,106,96
121,0,0
122,1,23
123,826,5
124,89,1
125,0,248
126,10,393
127,532,131
128,1128,214
129,566,3462
130,0,0
131,48,4
132,0,8
133,8,2
134,1,752
135,9,0
136,1852,1083
137,16532,4216
138,10,982
139,1117,772
140,0,531
141,4,1271
142,219,0
143,43,0
144,30,4
145,19,0
146,0,1
147,27,390
148,0,0
149,19,116
150,0,4
151,0,12
152,486,1333
153,3,204
154,54,3
155,65,132
156,9,32
157,57,73
158,1,472
159,2994,2889
160,5053,1721
161,1976,2529
162,1880,1972
163,1150,417
164,1045,1464
165,3,831
166,0,0
167,15,1878
168,1,0
169,558,135
170,4,1230
171,64,11
172,36,181
173,1497,3617
174,358,4074
175,3,17
176,381,208
177,8,1
178,3,1
179,383,50
180,794,1777
181,2,18
182,1,1
183,0,0
184,16,0
185,137,164
186,100,952
187,133,5324
188,236,2418
189,5554,2309
190,623,255
191,321,1524
192,873,2497
193,1572,3582
194,1136,746
195,433,1453
196,1,0
197,4,25
198,3,46
199,181,15
200,19,973
201,44,0
202,720,32
203,1020,0
204,4,2
205,0,912
206,0,31
207,4,23
208,58,137
209,40,3
210,7,223
211,238,13
212,3,7
213,10,6
214,40,2
215,149,53
216,2642,2541
217,2647,7395
218,31,95
219,5,1
220,1,0
221,310,209
222,7,564
223,16,2444
224,225,640
225,423,1455
226,12,26
227,175,212
228,25,26
229,3291,2184
230,0,20
231,2,119
232,1,26
233,822,4
234,7,4056
235,0,1083
236,405,1
237,7,43
238,23,151
239,168,271
240,222,16
241,1,33
242,54,4355
243,1218,3394
244,848,875
245,1307,2128
246,1867,3281
247,1641,3065
248,2,4
249,1,49
250,148,83
251,0,129
252,0,0
253,5,1
254,0,0
255,4,3
256,41,10
257,0,3
258,1,1
259,9,45
260,806,2
261,1953,90
262,1365,24
263,1631,11517
264,1340,2965
265,1058,4901
266,97,1157
267,1,3
268,48,250
269,281,4
270,16318,5633
271,705,0
272,1,81
273,1031,1241
274,9,29
275,7,0
276,1,158
277,0,1
278,26,671
279,11,0
280,7,0
281,6,17
282,40,11
283,10,3
284,2,60
285,40,413
286,1,0
287,18,0
288,2,1
289,2,12
290,193,6
291,1188,1
292,5159,1017
293,28,3
294,194,204
295,3,0
296,7,241
297,1771,3349
298,37,502
299,1,811
300,612,191
301,0,0
302,33,0
303,10,102
304,216,395
305,332,3053
306,1,0
307,5,2
308,116,1093
309,1,8
310,31,0
311,21,87
312,1,1144
313,0,1
314,4,0
315,5,70
316,27,1045
317,1,8
318,1336,3624
319,147,5733
320,905,6622
321,482,3969
322,7,5
323,231,207
324,10,23
325,113,6
326,93,0
327,339,30
328,28,1
329,116,6429
330,768,446
331,2,488
332,1,23
333,112,2
334,2,297
335,1,43
336,9,3
337,390,2476
338,0,2
339,0,6
340,310,0
341,0,1
342,24,2043
343,8,4139
344,218,4
345,72,61
346,146,0
347,65,1
348,73,0
349,20,767
350,20,11
351,2,7
352,379,134
353,33,0
354,8,45
355,379,747
356,6,86
357,8,6754
358,87,8506
359,1,0
360,1,657
361,426,1063
362,98,1940
363,473,2942
364,5814,15681
365,3008,6182
366,1,6
