,0,1,2
0,15504,3565,18015
1,72239,8174,11846
2,73876,9457,9579
3,60376,7529,8828
4,71020,7189,6722
5,86402,23004,10779
6,2622,927,1846
7,94276,5160,193
8,13011,3085,8273
9,14559,3154,15272
10,10997,5634,9781
11,124642,8380,33615
12,5669,4702,10062
13,1675,11165,7846
14,3347,2176,3458
15,2534,4895,4531
16,2364,1932,4383
17,66425,8622,12715
18,27054,655,5492
19,2493,1987,2211
20,1450,974,3823
21,1290,4678,2923
22,46781,6036,9937
23,22624,14291,11540
24,661,229,681
25,19571,1650,4909
26,1374,816,1367
27,37494,6095,5613
28,14808,4678,3385
29,12426,8293,13402
30,3497,12590,18124
31,16689,5655,18037
32,26262,17458,10604
33,18328,4093,7795
34,50812,929,19114
35,57344,6515,25917
36,92284,7961,20719
37,88326,2845,4921
38,2857,1522,3948
39,8303,1826,10912
40,19389,7575,14055
41,19525,11959,16009
42,23556,9522,5160
43,1963,1158,3582
44,531,539,1991
45,1034,915,5793
46,16845,5076,18945
47,6975,2907,4161
48,15863,3982,11884
49,12995,5367,5728
50,11244,5398,5181
51,37855,13126,5787
52,16723,6460,4845
53,33087,7810,10913
54,28203,3144,9993
55,4996,9336,11449
56,51055,11205,9581
57,13835,2705,11312
58,46871,13801,46985
59,24368,13915,11670
60,69231,6836,14410
61,60201,4790,12393
62,12458,8721,2099
63,9947,3301,3646
64,8827,8182,7231
65,52255,10165,11140
66,14727,1356,8852
67,1543,1700,271
68,12260,4494,6467
69,648,526,526
70,34065,8495,11793
71,3212,7929,6665
72,4515,2642,8671
73,1917,4764,3458
74,925,513,204
75,9130,1447,2384
76,19448,29156,17663
77,4307,4515,2633
78,22766,3117,2160
79,38481,9938,4303
80,181,317,247
81,650,1855,1036
82,357,5445,3089
83,8384,12241,5653
84,7885,5309,115
85,64182,8464,9440
86,7066,2360,6820
87,10849,15347,6211
88,5519,3416,3199
89,23458,8301,8705
90,4427,4403,13415
91,1814,17030,19375
92,3717,2855,2318
93,19101,16712,10182
94,852,923,2583
95,25036,22118,19493
96,6819,5219,15284
97,104547,2616,13800
98,4837,8672,5325
99,12402,10553,16263
100,278,603,199
101,855,228,225
102,1306,2263,6683
103,36396,6249,6708
104,22317,8617,8821
105,34162,5244,7234
106,28764,4640,4765
107,44933,9322,26686
108,2776,1536,3971
109,13317,2908,13902
110,577,2339,4361
111,3522,3158,6083
112,5335,294,7342
113,15150,3223,7257
114,4510,4821,5815
115,14304,2405,47918
116,2428,1946,8272
117,22480,1555,3567
118,748,52,1198
119,27520,2226,12873
120,38516,1251,11818
121,6448,4848,4636
122,5257,673,3670
123,6532,2782,4101
124,20869,2765,6730
125,22712,3276,6531
126,16367,12885,2203
