,0,1,2
0,15492,5233,17310
1,70131,11838,12796
2,73081,11500,11848
3,60366,9154,9915
4,70564,8151,7693
5,83020,26916,11602
6,2629,2493,2087
7,90562,8936,258
8,15849,5029,9128
9,14274,4118,16682
10,10897,4973,11376
11,103637,25262,38033
12,5577,4838,10409
13,1712,10977,8908
14,3328,2606,3892
15,2842,5081,4751
16,2358,2291,4723
17,66223,8356,14002
18,29261,2151,5848
19,2558,2089,2789
20,1593,1226,4074
21,1723,5460,3084
22,46160,7978,10159
23,23581,14860,11726
24,1218,659,932
25,19089,2241,6626
26,2324,1254,1500
27,35159,10209,5523
28,14473,5943,3481
29,11828,9796,13273
30,3735,12696,19049
31,13496,9144,21180
32,25649,15950,13889
33,19515,5007,8484
34,49799,6685,16848
35,59755,8260,25353
36,90498,10481,19967
37,77650,3954,9684
38,2857,3350,4176
39,7659,3774,11809
40,19069,9449,14135
41,15861,16003,17161
42,22330,11788,6494
43,1846,1932,4223
44,582,706,2012
45,935,1171,6993
46,16666,6357,18952
47,7602,4706,4209
48,15949,4492,12551
49,13130,5393,6159
50,10751,6563,6148
51,36293,15552,7025
52,16708,5367,6413
53,31773,10253,13126
54,27098,5246,10796
55,5259,9676,11741
56,46416,14478,11335
57,13712,3323,12348
58,46677,15439,46657
59,24723,14391,14228
60,58853,17845,14898
61,59275,6152,12967
62,11868,11550,2183
63,9959,3993,4021
64,10362,8661,7040
65,50999,12664,12330
66,14493,3251,10818
67,3968,2636,287
68,10964,7431,5724
69,713,1197,1074
70,32992,10665,12169
71,3463,8007,7667
72,4316,3092,9314
73,2029,5268,4689
74,975,716,418
75,11256,2286,2531
76,18643,25898,22419
77,3966,6285,2879
78,22114,5209,2780
79,38218,14876,5295
80,181,1534,503
81,663,2689,1273
82,375,5653,3370
83,8499,12606,6404
84,6991,6692,164
85,62926,11870,9988
86,6372,5149,7168
87,10060,15671,7112
88,4984,4313,3397
89,21705,11047,10406
90,3958,6197,12861
91,4504,12651,22021
92,3576,3882,2987
93,19342,18468,10118
94,892,1307,2683
95,24743,19378,22965
96,6492,6765,16791
97,99224,8962,13628
98,4701,8426,6793
99,11246,11570,16937
100,607,836,226
101,689,1514,316
102,1313,3200,6814
103,33345,10178,8394
104,18683,11412,11846
105,31882,8135,8493
106,24942,9908,6620
107,41926,18221,21207
108,2739,2334,4404
109,13545,2948,14157
110,571,3209,4731
111,2773,3963,6737
112,5228,841,8229
113,14471,3992,7945
114,4923,4669,6998
115,14101,2676,48554
116,2424,2842,8222
117,23553,4840,4527
118,796,884,2388
119,26819,3135,13894
120,37175,3059,13722
121,6340,5587,4687
122,5413,1903,4052
123,6417,4340,4260
124,20108,4427,6845
125,22699,4169,6699
126,16662,13799,2315
127,2484,6058,1695
128,62884,3717,9202
129,605,1638,4964
130,4801,4362,3477
131,3900,2587,7504
132,2169,1098,1493
133,474,1380,2512
134,14172,3343,5775
135,6490,7187,9331
136,31940,6534,3308
137,106642,16250,16479
138,8478,5702,13570
139,16028,4109,28759
140,2783,5553,1733
141,5016,5649,2112
142,1946,3122,3246
143,531,2642,3857
144,5259,6714,10917
145,3465,7240,3988
146,55206,4154,5225
147,53405,2835,6401
148,6756,2743,3666
149,17996,2476,3339
150,3905,3130,3410
151,3219,2794,3724
152,26666,18400,26703
153,4873,5231,3655
154,39156,3393,4057
155,38819,9497,6064
156,37029,7691,7345
157,659,1518,2101
158,2520,4209,4775
159,15326,3733,8603
160,14456,5101,8553
161,11026,9902,12141
162,24031,11258,7592
163,9412,9538,24138
164,35979,5421,15299
165,6579,4153,12619
166,3701,9668,8809
167,6602,4912,4918
168,3700,1833,378
169,5523,4906,15855
170,12628,10815,5689
171,49591,18542,5972
172,20523,6222,2330
173,29988,13205,13376
174,67577,15170,16103
175,23403,8044,15420
176,52007,13684,9227
177,17731,2746,9721
178,4858,2631,6027
179,18966,3614,4385
180,5602,13373,13809
181,7260,5619,6791
182,9665,8598,5490
183,2021,4613,5609
184,11363,11715,8064
185,5599,3779,1727
186,10147,6767,2332
187,20240,8739,8239
188,44562,18774,10040
189,24518,15367,23380
190,20902,5007,8847
191,9296,3991,3263
192,8116,2165,1552
193,23219,7106,3520
194,40459,8096,4986
195,34506,4480,894
196,8459,5389,5597
197,3394,5914,13471
198,2958,7296,10552
199,5218,5023,6479
200,947,995,3617
201,2698,2649,2984
202,8016,3392,5557
203,20859,2094,3506
204,2484,5110,2845
205,2394,5564,4913
206,11152,1820,296
207,8022,6001,5852
208,2233,4241,2483
209,1667,3488,116
210,53665,6824,18058
211,3574,7062,2614
212,931,703,2649
213,4295,3344,5516
214,1440,8863,7998
215,3740,8267,5179
216,4417,1747,648
217,1832,1530,307
218,12727,8975,9638
219,1274,1712,2173
220,9954,4585,5511
221,41453,4516,10874
222,14364,11606,13901
223,5202,8027,11727
224,55074,19738,14846
225,31300,14704,10550
226,12851,6875,8055
227,85146,34261,15693
228,6207,4647,6271
229,13186,3940,2872
230,3100,754,7118
231,3717,3272,4662
232,5703,2059,5559
233,17728,4731,8158
234,4273,5595,7250
235,19109,9740,7846
236,11448,5389,7315
237,7554,11429,8802
238,16093,9632,8342
239,1105,2151,3551
240,3363,2856,8937
241,4290,2820,8660
242,6576,3958,14811
243,13968,15933,23249
244,19360,8674,8389
245,36621,8987,10114
246,44303,22575,32846
247,51865,7879,19204
248,7266,5039,3838
249,922,3668,1806
250,4275,5093,3007
251,1090,601,865
252,18663,5704,4754
253,2371,2224,6236
254,9562,7995,2503
255,6115,8509,2734
256,8224,9333,5327
257,1977,4536,6178
258,3605,2924,5669
259,44871,4127,3732
260,10138,6932,4523
261,13121,14686,12581
262,12711,14418,19704
263,52333,19448,37148
264,10409,7904,4546
265,47090,11808,7850
266,17250,5150,16281
267,6339,10310,11211
268,34978,8608,12311
269,9922,8841,11213
270,6952,3860,4402
271,6390,3084,4859
272,24821,5584,7823
273,10075,6195,7086
274,2994,4277,4055
275,16170,3290,4852
276,1420,1780,1672
277,913,3301,3821
278,19423,5155,12754
279,3380,4755,8397
280,2439,2000,5080
281,5336,11918,4383
282,3102,804,1535
283,12905,4959,8176
284,1399,2932,2972
285,4425,2614,2950
286,6026,5293,5138
287,5580,5678,5326
288,2075,3539,410
289,2925,5068,3030
290,4000,1741,2091
291,3526,2478,570
292,43305,9735,15500
293,15435,4003,6591
294,64080,7492,8377
295,5334,6863,1481
296,8524,6565,4893
297,32649,50944,31865
298,27281,9835,10607
299,13987,3702,7012
300,80501,46472,25163
301,1665,1231,2049
302,16229,4423,4462
303,46659,19183,15973
304,69662,14098,9489
305,28665,11269,8906
306,14565,1465,8490
307,2300,1754,3120
308,50062,6024,10471
309,1589,714,1966
310,3641,7080,16289
311,12792,4534,8758
312,73113,18319,7701
313,8626,4397,9006
314,11460,3829,9476
315,4111,6616,6783
316,8367,14682,25810
317,3398,1703,2070
318,11247,2984,5954
319,27849,4385,7397
320,4532,3673,10812
321,8931,7372,15922
322,21449,5876,2460
323,2920,4069,6201
324,7577,6193,7818
325,17614,9317,20750
326,3038,1805,2931
327,11986,7458,2645
328,16927,9783,9257
329,14591,26598,4793
330,22770,16868,8949
331,5255,2605,2446
332,6659,3604,7892
333,6507,5222,1399
334,41667,5897,10013
335,3747,6355,6307
336,4814,3003,1013
337,36713,9173,38873
338,3207,1395,644
339,3503,3670,2419
340,1000,3477,5428
341,1199,3163,11762
342,3623,6443,9153
343,11460,10157,7044
344,2815,3341,9573
345,4858,1391,1652
346,8686,5434,18969
347,8044,7619,19414
348,11545,6232,19421
349,22440,46880,48699
350,28076,33226,6521
351,3636,13145,4121
352,40131,9623,9436
353,15826,14089,19445
354,1410,2536,1045
355,7270,7444,4228
356,13490,1889,2831
357,28357,10004,18702
358,10872,2726,13396
359,3812,3187,11816
360,3971,3204,3304
361,13737,3157,4340
362,82729,5224,16271
363,69807,7150,20661
364,119379,10836,24954
365,87581,10480,19741
366,578,1670,1805
367,612,1530,1414
368,790,671,2801
369,1366,1326,2743
370,4931,13585,11712
371,18312,4871,5556
372,20747,3924,7567
373,2936,4649,6061
374,695,1740,845
375,6554,2962,5523
376,8502,2769,12112
377,4519,6011,5776
378,26010,19687,27194
379,27263,16612,22785
380,6435,1412,3357
381,4228,5352,2574
382,8287,6351,4076
383,5856,13582,9574
384,1403,3907,1082
385,23147,1685,9111
386,9834,2053,2285
387,7337,8414,12268
388,44408,10438,7582
389,1533,2484,4292
390,20167,10310,6532
391,5467,4673,1997
392,17301,3146,10658
393,16938,4845,12767
394,29373,6398,7295
395,89361,13652,9073
396,101063,12194,12304
397,14408,8127,10492
398,7777,9557,6297
399,14137,3458,2417
400,955,5056,1342
401,1656,369,372
402,151482,34443,25679
403,4346,3892,8866
404,14216,30606,20802
405,10883,8581,16314
406,31092,22047,22862
407,27024,4489,9939
408,28752,3440,6784
409,4753,5173,6324
410,6840,3635,8253
411,1073,1434,7058
412,2959,5396,14582
413,15685,13520,4454
414,34398,11212,13359
415,9901,4995,3782
416,22055,3458,6686
417,15147,12175,13172
418,2441,3568,2433
419,16372,14202,18361
420,7549,4496,3756
421,4383,3276,3977
422,13877,6380,6147
423,19632,6367,6625
424,1804,2532,5038
425,1221,2134,2890
426,2005,4908,6161
427,22878,28385,26851
428,8445,5258,5005
429,1355,3373,4689
430,590,951,10170
431,1001,2960,643
432,2550,3307,2786
433,1698,4580,4161
434,4498,6060,5160
435,0,60,2461
436,899,1738,1966
437,37201,16049,19504
438,13544,5501,2669
439,4361,4627,2755
440,3157,4634,3412
441,29531,41027,6192
442,9130,12749,24552
443,7116,20545,26774
444,10796,13129,8401
445,3708,10375,3598
446,16453,3976,8909
447,33387,6338,15976
448,39588,9618,19143
449,4706,5611,508
450,17820,16175,20566
451,6384,1815,8962
452,1190,646,1122
453,4017,2170,761
454,21418,5677,5817
455,28805,5611,8026
456,29099,12405,11409
457,22623,9975,11577
458,2616,3846,3043
459,10787,1570,8417
460,3788,3196,2202
461,5473,4676,3267
462,3157,5552,2573
463,23420,13697,9545
464,1303,3332,3041
465,470,7851,13190
466,46115,12460,11702
467,10099,6157,2505
468,226,3569,1551
469,4108,9535,8061
