,0,1,2
0,1769,57,590
1,29913,238,725
2,40369,513,1288
3,29298,309,818
4,34096,219,1093
5,26745,472,212
6,1,0,0
7,47627,90,0
8,2815,0,592
9,2747,0,1284
10,72,148,38
11,28835,999,1272
12,174,0,2199
13,0,0,92
14,7,0,0
15,0,0,1
16,0,0,0
17,22756,120,995
18,3538,0,84
19,0,0,0
20,1,0,177
21,0,0,0
22,14262,0,297
23,807,320,177
24,0,0,0
25,924,0,42
26,0,0,0
27,3467,0,180
28,166,0,0
29,1343,45,248
30,0,359,2579
31,2,202,3811
32,5210,395,120
33,2116,0,15
34,10715,0,537
35,14919,126,668
36,42778,324,3659
37,6602,20,21
38,0,0,6
39,166,0,39
40,474,0,236
41,8,0,232
42,2217,92,54
43,0,0,0
44,0,0,6
45,0,0,0
46,424,0,1001
47,115,0,0
48,1055,112,5423
49,997,221,1063
50,335,147,1405
51,3412,523,92
52,1716,137,480
53,4227,151,733
54,2339,0,1453
55,0,110,84
56,7826,296,3
57,585,0,968
58,13932,3,1187
59,2829,485,3354
60,8836,14,69
61,28055,51,1567
62,1057,144,28
63,176,0,0
64,18,0,0
65,13247,294,72
66,942,8,16
67,1,0,0
68,135,0,0
69,0,0,0
70,4477,96,77
71,122,0,0
72,0,0,23
73,0,136,0
74,0,0,0
75,572,0,1
76,452,23,152
77,0,0,0
78,3955,20,54
79,6082,3,2
80,0,0,0
81,0,0,0
82,0,0,0
83,20,45,1
84,2,0,0
85,11812,189,788
86,114,0,1
87,479,120,43
88,0,0,0
89,1417,82,948
90,0,0,108
91,0,543,646
92,3,29,0
93,1333,50,23
94,0,0,0
95,667,172,0
96,1,72,68
97,43381,151,2286
98,1,3,0
99,612,55,3281
100,0,0,0
101,0,0,0
102,2,47,94
103,8372,79,148
104,1582,54,1
105,5189,32,11
106,2622,37,4
107,4033,8,527
108,90,0,0
109,2576,85,2218
110,0,0,0
111,9,0,0
112,230,0,13
113,181,0,278
114,0,0,4
115,470,217,975
116,0,0,15
117,4268,29,0
118,0,0,16
119,2880,11,2029
120,11806,2,1173
121,0,0,3
122,0,0,0
123,9,0,0
124,2912,0,23
125,3457,0,69
126,304,1,0
127,91,23,126
128,19394,0,5
129,0,29,0
130,313,0,0
131,0,0,0
132,0,0,0
133,0,0,0
134,306,0,10
135,68,158,485
136,3032,15,0
137,60691,2412,705
138,126,2,248
139,321,4,2706
140,0,0,0
141,0,243,0
142,0,0,0
143,12,0,0
144,0,0,0
145,35,0,0
146,16573,175,0
147,19421,0,24
148,0,0,0
149,623,4,0
150,0,0,0
151,0,0,0
152,4338,893,3835
153,3,0,0
