,0,1,2
0,1769,183,495
1,29834,372,1371
2,40316,694,1811
3,29298,427,935
4,34023,344,1242
5,26569,702,212
6,1,0,0
7,47374,343,0
8,4249,119,603
9,2730,17,1294
10,72,57,143
11,27359,2456,1291
12,174,0,2199
13,0,0,92
14,7,0,0
15,0,0,1
16,0,0,0
17,22767,111,1035
18,3536,3,84
19,0,0,0
20,1,0,199
21,0,0,0
22,14260,0,296
23,851,276,177
24,0,0,0
25,924,0,43
26,0,0,0
27,3463,4,180
28,166,0,0
29,1343,45,248
30,0,414,2595
31,2,199,4308
32,5200,279,251
33,2116,0,15
34,10714,211,350
35,15042,194,536
36,41526,348,4025
37,4868,20,845
38,0,0,6
39,166,0,39
40,473,2,236
41,1,7,232
42,2217,0,146
43,0,0,0
44,0,0,6
45,0,0,0
46,424,160,911
47,119,0,0
48,1055,32,5539
49,997,92,1192
50,335,132,1504
51,3412,364,252
52,1716,38,581
53,4189,55,954
54,2295,44,1628
55,0,110,84
56,7379,655,91
57,585,0,1094
58,13932,6,1212
59,2826,482,4975
60,7604,1240,107
61,28054,52,1591
62,1046,155,28
63,176,0,0
64,272,0,0
65,13247,285,212
66,944,6,78
67,141,0,0
68,135,0,0
69,0,0,0
70,4477,95,78
71,122,0,0
72,0,0,23
73,0,136,0
74,0,0,0
75,740,0,1
76,453,1,173
77,0,1,0
78,3955,22,65
79,6082,22,128
80,0,0,0
81,0,0,0
82,0,0,0
83,20,49,1
84,2,0,0
85,11789,196,865
86,114,0,1
87,470,129,43
88,0,0,0
89,1330,169,1434
90,0,0,108
91,0,482,775
92,3,29,0
93,1367,15,36
94,0,0,0
95,667,172,0
96,1,86,70
97,42673,876,2156
98,1,3,0
99,612,122,3222
100,0,0,0
101,0,0,0
102,2,36,109
103,8082,351,272
104,1450,165,31
105,5075,161,52
106,2336,302,112
107,4023,243,307
108,90,0,0
109,2576,85,2225
110,0,0,0
111,1,8,0
112,224,6,13
113,181,0,281
114,0,0,4
115,470,217,975
116,0,0,15
117,4295,5,3
118,0,277,409
119,2880,2,2087
120,11806,56,1311
121,0,0,3
122,0,0,0
123,9,0,0
124,2912,0,23
125,3457,0,69
126,304,1,0
127,91,11,138
128,19394,0,5
129,0,13,25
130,311,2,0
131,0,0,0
132,0,0,0
133,0,0,0
134,306,0,10
135,68,39,604
136,3042,5,0
137,60635,2504,742
138,121,5,293
139,320,4,2703
140,0,0,0
141,0,254,0
142,0,0,0
143,12,0,0
144,0,0,0
145,35,0,0
146,17675,177,0
147,19421,0,26
148,0,0,0
149,623,4,0
150,0,0,0
151,8,0,0
152,4338,966,3771
153,3,0,0
154,8876,7,0
155,3495,0,48
156,1747,0,0
157,0,0,126
158,0,344,0
159,1078,115,875
160,1138,77,353
161,48,124,556
162,468,85,120
163,45,0,123
164,3681,6,130
165,32,188,4281
166,0,3,58
167,51,2,19
168,0,0,0
169,5,0,160
170,327,56,22
171,18525,1480,87
172,3046,0,0
173,4773,125,40
174,20756,405,262
175,1774,0,112
176,6010,137,82
177,414,0,0
178,24,0,88
179,1537,78,78
180,36,220,18
181,155,0,0
182,122,0,0
183,0,0,18
184,11,0,228
185,580,4,0
186,1225,70,29
187,2839,200,79
188,6181,442,207
189,1237,1024,374
190,1055,0,0
191,92,2,0
192,0,0,0
193,1938,153,20
194,8594,225,46
195,5257,0,0
196,125,0,0
197,0,0,597
198,18,1,1
199,0,66,48
200,0,0,289
201,0,0,0
202,1471,0,52
