,femur,tibia
0,35,4504
1,6,6
2,78,1
3,449,8
4,9,14
5,654,26
6,8,3
7,24,4
8,0,2
9,1,669
10,3,673
11,919,4122
12,3,0
13,3,0
14,2,2
15,13,137
16,8,79
17,6,97
18,2,0
19,24,0
20,1,11
21,9,2
22,462,8
23,0,29
24,0,1
25,4,2
26,35,70
27,203,28
28,16559,1
29,1,74
30,6,15
31,1,3
32,7,65
33,6,3
34,0,3
35,40,65
36,229,17
37,828,36
38,2,12
39,1,1
40,76,2
41,414,0
42,325,1
43,1,1
44,2,293
45,183,0
46,9,18
47,1,2
48,0,0
49,0,1
50,0,0
51,174,413
52,112,21
53,3,2620
54,2,2849
55,40,56
56,2,12
57,1,18
58,441,220
59,17,347
60,0,6
61,7,49
62,1,4
63,0,0
64,4,3
65,112,279
66,0,0
67,3,0
68,5,0
69,10,30
70,40,539
71,0,5
72,2169,147
73,137,9
74,13,1
75,0,0
76,17,5
77,145,1
78,10,0
79,1,0
80,5,47
81,2,4
82,0,110
83,4006,8
84,10,6
85,2,3
86,629,23521
87,212,2677
88,39,5
89,54,0
90,154,38
91,38,0
92,1,14
93,3,59
94,2,2765
95,166,6
96,8,51
97,28,4
98,206,40
99,53,3095
100,12,40
101,28,26
102,0,45
103,1,4
104,6,3
105,13,6
106,374,5
107,248,5
108,1,0
109,3,314
110,306,2
111,610,1
112,303,17
113,33,66
114,126,0
115,1336,484
116,3,0
117,14,3
118,2794,8050
119,0,2
120,1,13
121,0,10
122,1,5
123,294,12
124,584,1
125,7,1
126,4,29
127,2,2366
128,169,1234
129,1233,12907
130,196,1
131,40,5
132,3,5
133,4,0
134,2,0
135,14,7
136,2,12
137,14,5
138,5,31
139,201,2
140,0,92
141,7,2
142,4,2
143,0,0
144,70,137
145,19,11
146,8,9
147,10,1
148,35,1
149,79,94
150,2,528
151,1,25
152,255,1468
153,247,2
154,0,4
155,33,20
156,2,44
157,29,37
158,123,2819
159,21,1
160,1,91
161,28,0
162,12,9
163,1,1
164,1,42
165,104,2
166,145,626
167,8,4
168,15,0
169,1,2
170,1,29
171,1,1
172,8,2
173,17,2709
174,21,1605
175,1,10
176,63,1
177,833,117
178,25,7
179,4,120
180,15,15
181,0,7
182,0,3
183,40,2
184,185,9
185,3,124
186,2,24
187,0,0
188,10,143
189,8,104
190,0,3
191,1,3
192,0,0
193,3,1031
194,0,446
195,75,1
196,0,14
197,13,8
198,1,4
199,2,54
200,32,23
201,2,10
202,1847,0
203,367,3
204,2,3
205,6,5
206,0,92
207,42,6
208,1304,1
209,1,1
210,1,1
211,229,6
212,0,0
213,6,54
214,229,343
215,39,33
216,26,226
217,3,334
218,326,8
219,9,0
220,49,5
221,1,21
222,231,257
223,274,13
224,29,759
225,16,182
226,3,9
227,104,3
228,0,33
229,0,52
230,0,8
231,0,0
232,0,30
233,17,50
234,0,1
235,12,1
236,56,1281
237,5,0
238,2,6
239,0,7007
240,135,269
241,2,2
242,32,421
243,143,184
244,5,25
245,26,29
246,75,757
247,1656,1236
248,25,76
249,5,0
250,8,3
251,110,96
252,39,5
253,184,255
254,38,38
255,7,32
256,34,50
257,2,2
258,6,5
259,0,6
260,1102,228
261,1174,6498
262,1884,2918
263,2,12
264,2,126
265,51,20
266,45,28
267,9,4
268,4,379
269,142,57
270,1089,3843
271,52,24
272,395,94
273,902,86
274,6,1
275,1,2
276,2,2
277,52,0
278,18,97
279,45,40
280,501,5
281,1,2
282,85,118
283,1002,189
284,42,11
285,35,988
286,0,21
287,1,1
288,0,0
289,1,4
290,447,0
291,904,117
292,282,16
293,52,171
294,251,1174
295,5,1
296,2,0
297,693,193
298,3,1
299,0,19
300,65,562
301,0,5
302,143,0
303,2,3
304,1,548
305,16,543
306,39,0
307,28,2
308,2,111
309,52,1
310,4,3
311,65,28
312,42,687
313,195,2
314,3,0
315,2,16
316,14,4
317,3,22
318,854,123
319,165,32
320,612,244
321,52,1226
322,2,0
323,4,7
324,0,0
325,21,10
326,22,0
327,8,4
328,7,3
329,0,386
330,886,6322
331,0,1531
332,1,4
333,27,0
334,0,11
335,0,296
336,1,3
337,264,0
338,2,0
339,1,4
340,502,11
341,2122,0
342,0,10
343,580,5
344,9,5
345,2,34
346,42,2
347,3054,0
348,18,1
349,27,65
350,176,40
351,33,147
352,18,25
353,5,4
354,1775,25
355,2,109
356,48,37
357,32,13049
358,4,1187
359,9,51
360,179,233
361,712,0
362,70,112
363,27,24
364,4,34
365,16,3
366,9,67
367,1,33
368,1,3
369,1,2
370,10,46
371,84,5
372,1,6
373,2,4
374,150,45
375,44,18
376,8,2
377,3,8
378,73,12
379,161,11
380,1,5
381,21,4
382,9,0
383,7,17
384,2,1
385,8,12
386,180,0
387,142,101
388,56,537
389,1,395
390,0,0
391,299,0
392,2,14
393,2,63
394,4,1
395,278,79
396,530,13
397,1,0
398,8,1
399,14,0
400,14,5
401,0,129
402,8,2
403,0,0
404,2,0
405,133,0
406,178,12
407,0,4
408,57,10
409,2,5
410,8,7
411,3,3
412,13,312
413,3,0
414,107,9
415,8,46
416,2,1
417,6,189
418,12,51
419,3,0
420,1,2
421,0,6
422,2,0
423,17,1497
424,2,6
425,0,6
426,10,0
427,183,55
428,1197,2838
429,5,404
430,14,1
431,2,1
432,3,3
433,4,1
434,20,24
435,2,5
436,0,1
437,630,42
438,508,0
439,0,3
440,5,2
441,8,58
442,448,14
443,255,6
444,135,155
445,2,10
446,1,10
447,390,153
448,2,176
449,4,13
450,4,0
451,151,1686
452,59,1
453,455,304
454,240,1
455,11,88
456,1,2
457,3,12
458,24,2
459,0,5
460,4,1
461,10,2438
462,0,43
463,2,2
464,3,9
465,1,195
466,4,386
467,0,0
468,1,62
469,54,115
470,1,12
471,59,8
472,1,1
473,7,2628
474,195,17
475,76,8
476,22,1
477,5,0
478,0,0
479,1,4
480,2,7
481,131,20
482,331,174
483,22,7
484,0,0
485,4,1
486,0,44
487,9,27
488,1,16
489,4,0
490,982,2
491,4,11
492,92,2
493,50,17
494,644,10174
495,35,15
496,14,27
497,12,0
498,21,0
499,9,0
500,49,1
501,6,344
502,0,0
503,1,21
504,23,0
505,0,3
506,7,2
507,217,0
508,7,3
509,3,1
510,2,6
511,9,2
512,4,77
513,1,141
514,2,4
515,9,3
516,36,4
517,172,29
518,0,89
519,54,41
520,43,444
521,2,1543
522,10,5
523,72,0
524,0,373
525,11,279
526,2,2
527,26,112
528,3,98
529,3,13
530,1,0
531,27,1291
532,200,119
533,0,6
534,2,5
535,0,39
536,2,9
537,280,324
538,99,1
539,0,362
540,1,185
541,81,403
542,23,96
543,1,291
544,48,0
545,0,7
546,33,13
547,1,26
548,24,69
549,361,9
550,2,390
551,2,147
552,16,152
553,34,17
554,0,227
555,1,209
556,0,78
557,5,62
558,50,4
559,13,141
560,1,4
561,1,6
562,1,59
563,9,0
564,4,0
565,49,16
566,76,10
567,3,0
568,72,57
569,2,158
570,2,0
571,1,10
572,2,2
573,1,46
574,102,3
575,8,3
576,0,0
577,1,1
578,11,2
579,601,3
580,195,1
581,0,0
582,21,4
583,0,0
584,13,0
585,1,0
586,430,35
587,221,5
588,175,8
589,3,9
590,12,4
591,3,2
592,11,60
593,348,0
594,1,0
595,1,15
596,308,143
597,171,0
598,57,0
599,43,5
600,1364,210
601,5,13
602,24,15
603,0,0
604,93,82
605,1,312
606,1,8
607,2,1219
608,27,76
609,973,4
610,32,30
611,63,0
612,1,3
613,422,12
614,0,7
615,69,2
616,86,0
617,2,1
618,0,0
619,1,0
620,0,14
621,1185,2529
622,9,33
623,1,0
624,937,27
625,0,0
626,0,0
627,1,10
628,18,2
629,0,0
630,39,11
631,0,0
632,1903,911
633,42,8
634,3,0
635,172,9
636,16,14
637,14,0
638,0,1
639,10,239
640,10,2
641,3,56
642,60,1
643,3,0
644,0,9
645,2,1
646,5,0
647,30,4
648,11,13
649,574,16
650,5,2
651,3,0
652,7,32
653,7,51
654,0,9
655,68,34
656,0,198
657,3,4
658,6,1
659,9,138
660,14,3
661,9,0
662,1,15
663,4,124
664,15,535
665,0,14
666,2,4
667,5,67
668,22,5637
669,0,0
670,2,8
671,3,1
672,2,18
673,2,0
674,3,5
675,4,10
676,17,1508
677,13,89
678,32,143
679,52,545
680,40,935
681,105,0
682,0,0
683,0,14
684,2,0
685,41,370
686,4,1
687,250,14
688,12,1
689,46,4
690,1097,81
691,0,1372
692,12,263
693,64,8
694,72,2378
695,100,5783
696,444,4367
697,355,21
698,8,33
699,151,289
700,35,102
701,1,2
702,26,1
703,20,5
704,10,5
705,7,107
706,317,12
707,4,966
708,5,107
709,2,627
710,6,16
711,2,5
712,117,29
713,3786,120
714,194,2
715,0,1
716,118,6
717,0,150
718,44,35
719,2,1
720,1,4
721,146,0
722,182,0
723,1,2
724,5,1
725,0,9
726,0,3
727,1,90
728,7,101
729,3,24
730,4,0
731,1,0
732,11,8
733,5,4
734,14,0
735,35,0
736,68,14
737,1,29
738,0,179
739,4,2
740,3,1
741,0,1
742,0,122
743,2535,3
744,2,1
745,18,1268
746,1,876
