,0,1,2
0,1287,2657,5656
1,5540,8979,5913
2,4089,4509,3623
3,8661,2101,5869
4,11936,5725,5472
5,15264,19001,6901
6,3374,1603,1113
7,10581,2477,1279
8,2134,1413,1034
9,3292,1150,2195
10,947,2169,4966
11,44259,23246,49024
12,3207,5296,3904
13,1052,22949,16356
14,2714,2036,3691
15,10210,2283,4215
16,8708,1241,1103
17,4710,2678,1302
18,4089,4694,5777
19,953,1218,1905
20,3286,7474,5310
21,2165,3715,3086
22,4436,1057,351
23,8028,3039,2124
24,931,2111,1867
25,1970,2930,3271
26,3586,1064,1830
27,10201,4893,4528
28,54831,7302,33566
29,4779,10671,9497
30,4003,1884,6548
31,2249,2521,6889
32,5363,10020,1796
33,731,3274,3998
34,6066,1274,4639
35,5137,5689,9363
36,3770,5330,5092
37,5930,8895,5362
38,6975,2473,2778
39,5112,1931,4871
40,2113,2713,2788
41,3548,3808,4502
42,4794,7137,8311
43,332,1384,1948
44,10475,6770,6552
45,50,616,1515
46,2181,13081,6318
47,4276,2659,3027
48,865,1262,1152
49,1421,816,1012
50,1887,657,945
51,4404,5445,10425
52,1111,561,1714
53,3845,1829,1621
54,14519,7044,12707
55,6930,4305,12695
56,13110,14526,8562
57,2178,2562,18251
58,2077,7966,25446
59,2746,5084,20926
60,11703,1242,7115
61,11839,881,2859
62,3144,4051,2039
63,14469,1504,4803
64,4507,4446,4880
65,3443,3436,5426
66,2251,1460,6928
67,1721,2175,190
68,8409,3618,5631
69,867,365,376
70,13189,6305,4992
71,3217,22302,18808
72,10411,3854,7480
73,4726,3691,3511
74,4812,1407,2238
75,901,614,334
76,2705,8788,9909
77,4699,2823,2107
78,1734,2149,3866
79,7266,1931,81
80,611,1352,798
81,269,1916,2179
82,1082,5007,6607
83,9283,10734,2606
84,8726,6576,1388
85,40541,1674,5408
86,2277,44777,2272
87,4600,12059,16905
88,1661,5590,1473
89,1030,2318,5233
90,1960,3083,3398
91,7351,9042,23213
92,8245,4048,2652
