,0,1,2
0,1259,3527,5528
1,4913,10913,6205
2,3670,5041,4409
3,8878,3548,5686
4,13655,6298,5947
5,15516,18835,7606
6,3297,2399,1450
7,12031,3938,1876
8,2547,1622,1930
9,3138,2091,2629
10,1040,2776,6472
11,41047,26009,50157
12,3055,5155,5050
13,1203,22158,17690
14,2628,3074,3967
15,10073,5332,4362
16,8684,1631,1679
17,4627,3338,1401
18,3847,5115,6753
19,969,2483,2641
20,4090,8668,4886
21,2453,4587,3310
22,4898,1826,349
23,8058,3781,2213
24,864,2307,2318
25,2109,2909,3793
26,3513,1378,1984
27,9557,5908,4627
28,56423,10582,32488
29,6564,9385,9696
30,3565,2340,7397
31,1886,2989,8236
32,5893,10748,2554
33,690,3762,4507
34,5997,1496,6780
35,5510,6459,9481
36,4148,5671,5239
37,5555,9472,5735
38,8321,4338,2670
39,5047,2671,5443
40,2113,3572,3091
41,3170,4296,5192
42,5171,8697,8527
43,311,2113,1900
44,10477,6901,6946
45,84,857,1765
46,2419,12837,6914
47,4257,5055,3318
48,837,2113,1640
49,1433,1194,1313
50,2085,1811,1084
51,4545,5415,10594
52,1256,894,1933
53,3760,2307,1768
54,13651,8217,13845
55,7566,5414,12858
56,14589,13636,9745
57,2178,3071,18508
58,2095,8584,25515
59,3362,6616,21455
60,11962,2062,7269
61,12314,1610,2891
62,3571,4694,2100
63,13743,2736,4858
64,4722,4692,5268
65,3011,4065,6497
66,3132,2114,7707
67,4422,3566,192
68,7239,5561,5682
69,937,917,824
70,12998,6704,5432
71,5996,19181,19325
72,9685,5429,7532
73,4778,4446,3509
74,4322,2534,2216
75,1875,1057,455
76,2658,8843,10641
77,4243,5815,2154
78,1719,3443,4016
79,7453,4328,224
80,642,1631,1066
81,330,2140,2353
82,1361,4805,7130
83,8584,11472,2922
84,8942,6499,1565
85,36006,6777,6529
86,2227,52350,2934
87,3883,13915,17035
88,1763,5481,2084
89,1193,3361,5311
90,1805,3465,4060
91,7686,13291,19036
92,6286,6701,2931
93,7051,12446,6753
94,15891,5658,5310
95,305,343,659
96,2660,4065,9747
97,15743,14353,11163
98,1790,13372,22202
99,2316,4339,3860
100,1782,1939,1287
101,843,2617,1576
102,841,5226,2781
103,2888,1857,1139
104,1261,3934,1662
105,685,3653,1769
106,1065,3916,1995
107,4968,9876,8696
108,731,2987,1360
109,5879,3787,7421
110,2714,3718,4938
111,3347,2248,6466
112,483,1913,3748
113,6876,2304,3798
114,1957,2941,3645
115,6936,3186,12403
116,7824,3927,6036
117,2015,2285,961
118,777,486,192
119,10172,3453,5740
120,5863,2945,6301
121,8532,5880,7456
122,1343,3456,2630
123,2785,892,1619
124,4104,1902,3366
125,16986,3852,10730
126,19179,8710,2946
127,1481,187,20
128,9059,1743,2919
129,32,1190,6611
130,1805,4434,1917
131,1601,3611,3883
132,578,1574,2069
133,686,2248,4114
134,5689,4366,5778
135,3847,5385,5857
136,2453,2809,1644
137,20179,7949,5144
138,7353,6935,9589
139,13834,5951,15980
140,2558,4346,2423
141,4071,4112,2943
142,1754,4152,3846
143,536,2105,1766
144,1201,4732,10038
145,17819,17069,14272
146,11702,1003,6323
147,20589,3811,9229
148,16755,4151,1963
149,20540,3646,4435
150,3047,3138,6747
151,4467,3248,1407
152,17397,6429,8842
153,4817,7180,2702
154,14520,5143,5110
