,0,1,2
0,45,13,0
1,5,0,2
2,0,0,6
3,3,0,0
4,276,0,0
5,3,0,95
6,2,0,0
7,312,0,0
8,17,0,0
9,0,0,0
10,0,3,0
11,3627,367,613
12,0,0,76
13,0,0,1913
14,0,0,0
15,92,0,0
16,10,0,0
17,0,0,38
18,2,0,69
19,0,0,0
20,0,0,2
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,81,0,0
26,0,0,0
27,1447,2,0
28,17094,21,11300
29,25,126,9
30,0,0,15
31,0,0,0
32,0,2,69
33,0,0,1
34,5,0,0
35,0,0,0
36,0,0,299
37,0,0,124
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,14,59,0
43,0,0,0
44,2060,12,180
45,0,0,0
46,0,2,4
47,97,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,22,0,79
52,0,0,0
53,0,0,2
54,664,0,81
55,302,92,4961
56,43,24,7
57,0,1,7063
58,14,6,3572
59,0,0,2947
60,776,0,102
61,1375,0,2
62,85,52,0
63,125,0,0
64,38,0,118
65,0,0,7
66,416,0,0
67,0,0,0
68,38,0,5
69,0,0,0
70,211,55,17
71,37,54,18
72,17,10,27
73,0,0,3
74,3,0,0
75,5,0,0
76,9,1,407
77,0,0,0
78,0,0,0
79,0,0,0
80,4,0,0
81,0,0,0
82,0,0,326
83,1,0,0
84,0,0,0
85,5173,7,0
86,20,27838,204
87,13,5,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,25
92,178,32,0
93,22,0,11
94,165,26,0
95,0,0,0
96,0,0,0
97,2963,270,200
98,15,0,85
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,4,0,5
108,0,150,0
109,389,8,0
110,14,1,0
111,0,0,0
112,0,0,0
113,3,0,22
114,0,0,0
115,15,0,67
116,51,0,267
117,0,0,0
118,0,0,0
119,270,22,2
120,195,0,0
121,0,0,12
122,0,0,0
123,0,0,0
124,0,0,0
125,924,0,93
126,3291,1,0
127,12,0,0
128,0,0,0
129,0,31,56
130,0,0,0
131,0,0,0
132,0,0,0
133,0,0,0
134,51,0,0
135,0,0,0
136,0,0,0
137,665,0,0
138,50,0,0
139,4,2,58
140,0,0,3
141,0,4,0
142,0,0,0
143,0,0,0
144,0,0,95
145,514,0,0
146,936,0,37
147,1311,0,21
148,462,0,0
149,258,0,0
150,0,0,78
151,224,0,0
152,720,0,28
153,0,0,51
154,854,0,1
155,11714,351,230
156,3271,0,0
157,0,0,0
158,20,0,305
159,0,0,0
160,0,0,0
161,0,1,0
162,11,1,10
163,82,1,6
164,1033,31,82
165,6,0,11
166,1045,0,35
167,0,0,11
168,0,0,0
169,0,0,236
170,83,0,0
171,0,39,0
172,5,0,0
173,498,159,9
174,4946,1178,78
175,2,0,71
176,23,0,8
177,1394,330,3
178,0,0,39
179,0,0,0
180,0,0,0
181,0,0,1
182,6,0,2
183,0,0,13
184,372,0,3
185,6,0,0
186,0,0,0
187,56,0,85
188,0,0,29
189,0,0,1
190,0,0,4
191,22,0,0
192,82,0,0
193,85,0,3
194,45,0,1
195,0,0,17
196,5,0,36
197,165,0,0
198,300,23,0
199,496,0,0
200,0,0,0
201,0,0,0
202,383,0,0
203,15,0,0
204,0,0,0
205,0,0,0
206,13,0,0
207,0,0,7
208,8,0,0
209,0,0,0
210,2950,0,0
211,0,244,7
212,0,0,0
213,0,0,11
214,480,0,9
215,0,0,41
216,0,0,0
217,0,4,0
218,1995,1,398
219,0,0,0
220,34,0,0
221,1055,0,0
222,0,0,0
223,1,0,13
224,0,0,0
225,0,0,0
226,75,0,0
227,1,0,171
228,1,129,213
229,61,0,0
230,0,0,0
231,0,0,0
232,0,0,0
233,0,0,0
234,0,0,0
235,2,1,0
236,0,0,0
237,0,0,0
238,0,0,0
239,0,738,508
240,6093,0,0
241,0,0,0
242,64,0,1
243,757,0,0
244,11,0,0
245,15,6,0
246,221,6,8
247,1322,0,1383
