,0,1,2
0,15492,19189,3354
1,70131,21438,3196
2,73081,20133,3215
3,60366,15470,3599
4,70564,12349,3495
5,83020,34528,3990
6,2629,4042,538
7,90562,8958,236
8,15849,11246,2911
9,14274,13285,7515
10,10897,13217,3132
11,103637,37879,24968
12,5577,10417,4830
13,1712,17688,2197
14,3328,5672,826
15,2842,8733,1099
16,2358,5627,1387
17,66223,17744,4613
18,29261,5049,2950
19,2558,4633,245
20,1593,2109,3191
21,1723,6953,1591
22,46160,13525,4612
23,23581,21741,4845
24,1218,1296,295
25,19089,7512,1355
26,2324,2512,242
27,35159,13204,2521
28,14473,8454,970
29,11828,17963,5106
30,3735,22444,9301
31,13496,20472,9852
32,25649,26112,3727
33,19515,11524,1967
34,49799,20582,2951
35,59755,26931,6682
36,90498,17819,12087
37,77650,4728,8336
38,2857,7176,350
39,7659,12598,2985
40,19069,20906,2678
41,15861,30295,2869
42,22330,16435,1847
43,1846,5613,542
44,582,847,1871
45,935,5539,2625
46,16666,23490,1819
47,7602,7745,1170
48,15949,7725,9313
49,13130,8020,3494
50,10751,8883,3826
51,36293,19898,2650
52,16708,8383,3397
53,31773,21270,2109
54,27098,12961,3081
55,5259,17201,4113
56,46416,23380,2433
57,13712,11643,4028
58,46677,40198,21887
59,24723,25284,3335
60,58853,28964,3779
61,59275,15555,3564
62,11868,13339,394
63,9959,6446,1568
64,10362,13182,2519
65,50999,19902,5092
66,14493,12880,1189
67,3968,2793,130
68,10964,12091,1064
69,713,2123,148
70,32992,18101,4733
71,3463,13342,2332
72,4316,5137,7269
73,2029,9072,885
74,975,1134,0
75,11256,4176,641
76,18643,41840,6477
77,3966,8722,442
78,22114,6912,1077
79,38218,18936,1235
80,181,1977,60
81,663,3778,184
82,375,8740,283
83,8499,17603,1407
84,6991,6856,0
85,62926,19988,1870
86,6372,11008,1302
87,10060,19975,2808
88,4984,6936,774
89,21705,17369,4084
90,3958,17017,1890
91,4504,31201,3471
92,3576,6402,467
93,19342,24132,4454
94,892,2965,1025
95,24743,36641,5654
96,6492,21402,2148
97,99224,20198,2335
98,4701,12875,2344
99,11246,20183,8324
100,607,948,114
101,689,1744,86
102,1313,7878,2136
103,33345,15986,2562
104,18683,19824,3167
105,31882,13612,2944
106,24942,14189,2125
107,41926,30693,8664
108,2739,5882,856
109,13545,11005,6100
110,571,6608,1332
111,2773,9055,1636
112,5228,7234,1836
113,14471,8952,2984
114,4923,10852,815
115,14101,30255,20975
116,2424,7367,3697
117,23553,8942,425
118,796,2737,535
119,26819,12324,4705
120,37175,11686,5095
121,6340,8609,1665
122,5413,4491,1464
123,6417,7712,888
124,20108,10345,927
125,22699,9642,1226
126,16662,15954,160
127,2484,7229,524
128,62884,11432,1487
129,605,5727,875
130,4801,7328,511
131,3900,8984,1107
132,2169,2303,288
133,474,3771,121
134,14172,8640,478
135,6490,13042,3476
136,31940,9413,429
137,106642,28864,3865
138,8478,10858,8353
139,16028,10817,21452
140,2783,7140,146
141,5016,6975,786
142,1946,4382,1941
143,531,4596,1854
144,5259,15293,2338
145,3465,10235,993
146,55206,8836,543
147,53405,8250,986
148,6756,5893,516
149,17996,5224,591
150,3905,6052,488
151,3219,5946,572
152,26666,31158,13874
153,4873,6931,1955
154,39156,7163,287
155,38819,14816,745
156,37029,14238,798
157,659,2416,1203
158,2520,5994,2990
159,15326,11574,762
160,14456,12302,1352
161,11026,19280,2763
162,24031,17550,1300
163,9412,20904,12772
164,35979,14939,5781
165,6579,14456,2316
166,3701,14172,4305
167,6602,8787,1043
168,3700,2166,45
169,5523,15527,5234
170,12628,14765,1739
171,49591,22291,2223
172,20523,7353,1199
173,29988,23267,3314
174,67577,26417,4856
175,23403,20188,3276
176,52007,20712,2199
177,17731,9866,2601
178,4858,3651,5007
179,18966,6279,1718
180,5602,20797,6370
181,7260,10439,1958
182,9665,12179,1909
183,2021,9289,933
184,11363,15554,4225
185,5599,4483,1023
186,10147,8273,826
187,20240,13232,3746
188,44562,24217,4597
189,24518,36147,2600
190,20902,11352,2502
191,9296,6720,534
192,8116,3636,81
193,23219,10099,527
194,40459,11641,1441
195,34506,5160,214
196,8459,7963,3023
197,3394,17003,2382
198,2958,15013,2835
199,5218,8161,3341
200,947,4539,73
201,2698,4916,717
202,8016,4794,4155
203,20859,2903,2697
204,2484,6949,1006
205,2394,8825,1652
206,11152,2027,89
207,8022,9958,1895
208,2233,6094,630
209,1667,3604,0
210,53665,21203,3636
211,3574,9033,643
212,931,3323,29
213,4295,7683,1177
214,1440,14248,2613
215,3740,12319,1127
216,4417,2222,173
217,1832,1699,138
218,12727,14382,4228
219,1274,3475,410
220,9954,7945,2093
221,41453,11983,3407
222,14364,22572,2933
223,5202,17624,2130
224,55074,29742,4762
225,31300,22095,3087
226,12851,9611,5319
227,85146,41504,8450
228,6207,7297,3621
229,13186,6258,554
230,3100,5482,2390
231,3717,5715,2185
232,5703,4473,3100
233,17728,12124,765
234,4273,9541,3304
235,19109,14466,3120
236,11448,11557,1147
237,7554,19050,1181
238,16093,16730,1244
239,1105,5119,583
240,3363,10473,1320
241,4290,7196,4284
242,6576,14654,4115
243,13968,33058,6124
244,19360,12172,4891
245,36621,12369,6729
246,44303,37991,17430
247,51865,14238,12845
248,7266,6624,2253
249,922,5239,235
250,4275,6729,1371
251,1090,1366,100
252,18663,9363,1095
253,2371,8133,327
254,9562,10240,258
255,6115,10684,559
256,8224,13562,1098
257,1977,8821,1893
258,3605,6230,2363
259,44871,6809,1050
260,10138,9450,2005
261,13121,19376,7867
262,12711,25762,8360
263,52333,46724,9737
264,10409,11509,941
265,47090,17849,1809
266,17250,13209,8222
267,6339,16941,4580
268,34978,19031,1888
269,9922,16584,3470
270,6952,7365,897
271,6390,6838,1105
272,24821,10767,2640
273,10075,9889,3392
274,2994,6224,2108
275,16170,6016,2126
276,1420,3146,306
277,913,6308,814
278,19423,15452,2457
279,3380,8652,4500
280,2439,5949,1131
281,5336,15944,357
282,3102,2148,191
283,12905,11713,1422
284,1399,4369,1535
285,4425,4171,1391
286,6026,8497,1934
287,5580,9181,1823
288,2075,3873,76
289,2925,7285,813
290,4000,3738,94
291,3526,3040,8
292,43305,19130,6105
