,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0,0,0,0,230,839,1604,1165,625,227,216,85,58,17,5,3,0,4,5,6,17,10,10,5,1,1,21,75,52,44,22,18,64,221,174,28,0,4,59,220,340,407,473,491,356,166,74,14,41,43,29,19,2,0,2,21,6,1,6,0,3,1,2,0,0,0,3,0,1,0,0,0
1,0,0,0,0,0,378,1501,3603,5621,5113,4473,3855,3323,3116,2913,2722,2321,2006,1534,953,658,642,730,468,323,322,293,248,186,114,49,100,319,356,352,361,215,70,43,22,12,177,83,110,932,1164,217,196,27,0,15,44,76,43,3,1,0,0,0,26,49,53,10,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,114,1124,4211,6663,6528,5521,4902,4176,3591,3407,3147,2528,1616,1116,1121,1090,833,391,252,158,114,95,75,38,126,197,341,377,535,626,499,263,38,11,16,7,108,129,147,967,1695,95,72,113,1,16,27,37,22,11,5,0,0,1,9,9,46,49,5,0,0,0,0,0,0
3,0,0,0,0,0,18,385,1479,3572,4786,4771,4248,3882,3469,3113,2911,2341,1671,1081,898,803,651,429,178,41,2,37,75,41,57,150,160,176,248,456,370,212,67,55,26,20,52,35,72,501,887,52,47,59,77,64,77,36,4,2,0,0,0,2,21,11,46,65,13,0,0,3,28,15,0,0
4,0,0,0,0,0,37,443,2253,3942,5250,4666,4033,4061,3661,3303,3237,3152,2664,1780,1206,1092,919,672,463,174,5,13,18,7,63,114,157,176,180,255,358,319,126,36,1,0,1,0,30,344,873,88,91,8,20,23,96,123,91,12,0,0,0,19,126,105,104,148,97,13,0,0,0,3,0,0
5,0,0,0,0,0,0,8,337,2345,4391,5435,5187,4965,4875,4151,3266,3382,2527,1999,1487,1098,1237,852,408,252,364,364,263,304,474,550,519,368,310,393,218,208,215,189,80,44,57,73,51,73,603,911,59,46,21,46,123,205,138,28,3,17,12,12,19,0,0,0,0,0,0,0,94,85,13,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,8,18,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,1298,4262,6584,6801,5080,4765,5166,5027,4682,4525,4210,2983,2179,1404,907,861,756,589,334,348,334,241,175,146,200,336,440,273,147,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,0,0,0,0,0,0,5,499,963,887,766,681,610,449,273,175,138,126,110,110,122,135,150,160,182,141,21,6,3,0,1,9,10,11,30,0,0,0,4,4,18,64,23,2,15,160,230,373,234,203,77,17,1,0,0,3,26,0,3,0,1,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,11,233,787,749,444,291,345,317,239,209,196,160,170,150,140,120,102,102,74,41,7,10,6,0,0,0,6,41,53,1,5,5,13,31,32,33,41,21,59,292,226,453,171,263,311,233,148,164,131,122,108,68,37,20,5,0,4,0,0,0,0,0,0,0,0
10,0,0,0,0,10,5,40,108,109,63,91,83,57,38,49,45,41,36,23,29,24,3,1,7,5,20,28,21,9,4,12,3,13,12,18,25,53,66,111,139,277,246,62,47,130,189,69,36,22,14,4,0,0,2,0,1,0,0,3,1,7,6,8,1,1,0,0,0,6,0,0
11,139,164,127,399,726,1852,3225,5175,7903,9074,8284,6587,5131,3358,2373,1575,1050,659,512,375,246,151,269,392,468,451,463,635,685,595,567,741,1828,1133,356,53,20,0,0,1,6,4,29,60,177,145,119,69,141,103,120,273,305,322,291,323,343,294,228,147,104,90,148,176,217,119,61,41,33,27,35
