,0,1,2
0,1259,7916,1139
1,4913,15298,1820
2,3670,8016,1434
3,8878,7446,1788
4,13655,10731,1514
5,15516,24430,2011
6,3297,3647,202
7,12031,5791,23
8,2547,3223,329
9,3138,4480,240
10,1040,8023,1221
11,41047,54380,21783
12,3055,9036,1169
13,1203,32637,7201
14,2628,5729,1312
15,10073,7477,2217
16,8684,2045,1265
17,4627,3875,864
18,3847,7910,3936
19,969,4783,341
20,4090,11594,1960
21,2453,6451,1446
22,4898,1986,189
23,8058,5394,600
24,864,3860,765
25,2109,5667,1035
26,3513,3310,52
27,9557,8936,1599
28,56423,14008,28757
29,6564,16979,2102
30,3565,7457,2280
31,1886,9038,2187
32,5893,12766,536
33,690,7131,1138
34,5997,7500,774
35,5510,13824,2116
36,4148,7756,3154
37,5555,13706,1501
38,8321,6825,183
39,5047,7053,1061
40,2113,6251,412
41,3170,8213,1275
42,5171,13812,3406
43,311,3302,711
44,10477,11305,2542
45,84,2197,425
46,2419,18620,1131
47,4257,7367,987
48,837,2991,762
49,1433,1993,514
50,2085,2330,565
51,4545,13107,2902
52,1256,2054,773
53,3760,3923,152
54,13651,19086,2976
55,7566,8709,9563
56,14589,21532,1849
57,2178,5005,16574
58,2095,21002,13097
59,3362,8290,19781
60,11962,6790,2541
61,12314,3703,798
62,3571,6415,379
63,13743,5890,1704
64,4722,7506,2454
65,3011,9030,1532
66,3132,9086,735
67,4422,3677,81
68,7239,9223,2020
69,937,1426,315
70,12998,10499,1637
71,5996,34047,4459
72,9685,10944,2017
73,4778,7473,482
74,4322,4297,453
75,1875,1260,252
76,2658,16146,3338
77,4243,7740,229
78,1719,6529,930
79,7453,4552,0
80,642,2297,400
81,330,3721,772
82,1361,6752,5183
83,8584,13535,859
84,8942,7618,446
85,36006,12207,1099
86,2227,55096,188
87,3883,25674,5276
88,1763,6769,796
89,1193,6442,2226
90,1805,6427,1065
91,7686,24607,7720
92,6286,8777,855
93,7051,17345,1854
94,15891,9157,1811
95,305,946,56
96,2660,10672,3140
97,15743,24062,1454
98,1790,29148,6426
99,2316,7464,735
