,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,52,1,0,0,0,0,1,0,0,0,5,0,3,17,19,32,18,16,0,0,0,0,0,0,0,0,3,7,1,0,0,0,0,4,15,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,11,3,0,10,10,3,3,1,30,43,28,15,16,1,6,29,12,8,10,1,0,7,15,9,2,0,0,0,0,76,126,86,0,45,1,4,12,6,2,0,0,1,0,8,21,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,13,0,0,0,4,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,37,24,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,1,20,2,2,0,56,94,147,70,18,13,0,0,3,4,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,1,52,52,33,25,6,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,1,3,4,1,72,282,387,285,255,225,150,99,62,18,0,0,2,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,36,38,0,26,59,0,2,0,1,1,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,3,0,0,0,0,2,9,3,54,111,101,75,225,249,280,282,178,7,21,66,91,78,62,21,6,3,8,1,43,108,62,4,4,40,71,82,26,13,4,29,209,138,6,12,8,14,27,0,0,0,0,0,4,1,0,0,0,76,192,32,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,1,0,40,32,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,1,103,111,182,122,41,63,3,17,90,139,97,11,12,5,4,1,8,1,3,9,3,0,0,0,0,0,0,0,0,0,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,22,74,91,41,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,4,0,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
